start,end,DOMESTIC_HOT_WATER.CONSUMED_ELECTRICAL_ENERGY,HEATING.CONSUMED_ELECTRICAL_ENERGY,DOMESTIC_HOT_WATER.EARNED_ENVIRONMENT_ENERGY,HEATING.EARNED_ENVIRONMENT_ENERGY,DOMESTIC_HOT_WATER.HEAT_GENERATED,HEATING.HEAT_GENERATED
2025-02-09T03:00,2025-02-09T04:00,0.0,694.5312290244764,0.0,1271.2823572167,0.0,1898.6947773288293
2025-02-09T04:00,2025-02-09T05:00,0.0,703.3585333852573,0.0,1295.8059658746943,0.0,1932.419370965789
2025-02-09T05:00,2025-02-09T06:00,0.0,820.9089883048291,0.0,1635.3758626760564,0.0,2388.3301018574466
2025-02-09T06:00,2025-02-09T07:00,0.0,945.6080996919014,0.0,1977.1290074823942,0.0,2853.935230448891
2025-02-09T07:00,2025-02-09T08:00,0.0,925.4951409343637,0.0,1911.6830159209694,0.0,2769.4185421807224
2025-02-09T08:00,2025-02-09T09:00,0.0,887.7981695711824,0.0,1839.8393006815554,0.0,2661.7347457356227
2025-02-09T09:00,2025-02-09T10:00,0.0,848.4043383364851,0.0,1741.8270412053948,0.0,2525.990301335576
2025-02-09T10:00,2025-02-09T11:00,0.0,828.7767798629609,0.0,1702.9670997757614,0.0,2468.709859616408
2025-02-09T11:00,2025-02-09T12:00,0.0,822.6281943221832,0.0,1698.3317841944418,0.0,2458.2886288267077
2025-02-09T12:00,2025-02-09T13:00,0.0,793.4749869101815,0.0,1603.3755569350521,0.0,2335.4080991124265
2025-02-09T13:00,2025-02-09T14:00,0.0,760.7482844366496,0.0,1517.008849323753,0.0,2217.6061109693173
2025-02-09T14:00,2025-02-09T15:00,0.0,760.5111906776385,0.0,1521.5938471594645,0.0,2222.3567505115147
2025-02-09T15:00,2025-02-09T16:00,0.0,776.0199429367999,0.0,1550.4214452190663,0.0,2265.6896806394543
2025-02-09T16:00,2025-02-09T17:00,0.0,794.7764046695756,0.0,1587.1333268690837,0.0,2319.3580114619954
2025-02-09T17:00,2025-02-09T18:00,0.0,817.2249648377197,0.0,1616.1952530642434,0.0,2370.5456466610312
2025-02-09T18:00,2025-02-09T19:00,0.0,840.0201478970594,0.0,1661.5447353127643,0.0,2437.959583685545
2025-02-09T19:00,2025-02-09T20:00,0.0,852.0688034673772,0.0,1689.4419743683998,0.0,2477.7706736089613
2025-02-09T20:00,2025-02-09T21:00,0.0,839.5095818661973,0.0,1640.908477112676,0.0,2416.552029049296
2025-02-09T21:00,2025-02-09T22:00,0.0,795.6643250586524,0.0,1494.203242604939,0.0,2225.6712984526985
2025-02-09T22:00,2025-02-09T23:00,0.0,583.5203828249907,0.0,1088.279988868704,0.0,1615.8181662087911
2025-02-09T23:00,2025-02-10T00:00,0.0,635.3379043522724,0.0,1132.5412498735013,0.0,1704.654471329952
2025-02-10T00:00,2025-02-10T01:00,0.0,684.5496368838028,0.0,1152.8529578729776,0.0,1769.5611943616827
2025-02-10T01:00,2025-02-10T02:00,0.0,701.334555067709,0.0,1158.466099872162,0.0,1790.2124955985914
2025-02-10T02:00,2025-02-10T03:00,0.0,707.0074381654508,0.0,1155.0013650120106,0.0,1793.080943935402
2025-02-10T03:00,2025-02-10T04:00,0.0,698.0345017896659,0.0,1130.5958391860872,0.0,1759.585301638379
2025-02-10T04:00,2025-02-10T05:00,0.0,669.7705585688774,0.0,1076.6034960245904,0.0,1678.1028024467264
2025-02-10T05:00,2025-02-10T06:00,0.0,743.8333786148846,0.0,1304.8571545675682,0.0,1980.6145007495666
2025-02-10T06:00,2025-02-10T07:00,0.0,1013.0947375822986,0.0,1964.2704752739812,0.0,2904.189596961701
2025-02-10T07:00,2025-02-10T08:00,0.0,954.3147634242957,0.0,1806.6254027288733,0.0,2689.187843309859
2025-02-10T08:00,2025-02-10T09:00,0.0,935.3900931704791,0.0,1759.263309695543,0.0,2622.035386121644
2025-02-10T09:00,2025-02-10T10:00,0.0,940.2951515717572,0.0,1756.8619561703683,0.0,2624.544733563767
2025-02-10T10:00,2025-02-10T11:00,0.0,923.8241599353048,0.0,1725.3072501231848,0.0,2578.125828683203
2025-02-10T11:00,2025-02-10T12:00,0.0,887.2037699880249,0.0,1644.8405624823895,0.0,2462.8059708720766
2025-02-10T12:00,2025-02-10T13:00,0.0,862.4522466715975,0.0,1618.065002905748,0.0,2411.3154075203192
2025-02-10T13:00,2025-02-10T14:00,0.0,844.126792076423,0.0,1571.8949623406118,0.0,2348.2737144762064
2025-02-10T14:00,2025-02-10T15:00,0.0,884.2146096907585,0.0,1664.82560051275,0.0,2477.9920363190463
2025-02-10T15:00,2025-02-10T16:00,0.0,851.7898501104077,0.0,1563.937591118719,0.0,2346.554158150003
2025-02-10T16:00,2025-02-10T17:00,0.0,804.2743576535644,0.0,1404.6410777347285,0.0,2140.2268718722594
2025-02-10T17:00,2025-02-10T18:00,0.0,741.1906880508892,0.0,1250.1819460153426,0.0,1922.7720246478873
2025-02-10T18:00,2025-02-10T19:00,0.0,773.5181316021127,0.0,1361.6274193608397,0.0,2065.636254401408
2025-02-10T19:00,2025-02-10T20:00,0.0,789.5981292948128,0.0,1418.5183543677936,0.0,2138.05229890856
2025-02-10T20:00,2025-02-10T21:00,0.0,786.4878938844488,0.0,1391.9332399543398,0.0,2107.9648949535726
2025-02-10T21:00,2025-02-10T22:00,0.0,765.8566333008192,0.0,1346.1605159915616,0.0,2032.1735039799944
2025-02-10T22:00,2025-02-10T23:00,0.0,493.40910731896304,0.0,878.9814560439561,0.0,1141.3369082840236
2025-02-10T23:00,2025-02-11T00:00,0.0,696.3408307835176,0.0,1183.7737362414127,0.0,1803.8826466788898
2025-02-11T00:00,2025-02-11T01:00,0.0,523.4340052816901,0.0,931.1674339788733,0.0,1395.5559991197183
2025-02-11T01:00,2025-02-11T02:00,0.0,679.8820884683099,0.0,1186.5661751760563,0.0,1796.3028653169013
2025-02-11T02:00,2025-02-11T03:00,0.0,567.4215042483268,0.0,1071.0653840390141,0.0,1577.6324870141084
2025-02-11T03:00,2025-02-11T04:00,0.0,640.694087979845,0.0,1066.1790249448115,0.0,1638.454830917148
2025-02-11T04:00,2025-02-11T05:00,0.0,572.4708734408423,0.0,1095.4621943321665,0.0,1606.9023898727348
2025-02-11T05:00,2025-02-11T06:00,0.0,683.5400916873281,0.0,1186.7000916991096,0.0,1802.153912284978
2025-02-11T06:00,2025-02-11T07:00,0.0,842.6727274147846,0.0,1745.1235922810035,0.0,2520.7836953462047
2025-02-11T07:00,2025-02-11T08:00,135.41758359771015,706.8231757698933,317.0554818680037,1290.645692642372,464.85719959771455,1950.128980125787
2025-02-11T08:00,2025-02-11T09:00,770.4272454316376,341.63152215789165,1571.2214463020512,647.912569118866,2385.850056869948,1018.2598429621862
2025-02-11T09:00,2025-02-11T10:00,794.9248559859318,636.0858296605309,969.723841722009,1446.1135009606683,1734.4401534810547,2044.781228058728
2025-02-11T10:00,2025-02-11T11:00,0.0,721.8778895246479,0.0,1290.4383450704227,0.0,1947.4333483023388
2025-02-11T11:00,2025-02-11T12:00,0.0,668.1580457746479,0.0,1252.4574383802815,0.0,1858.091849839173
2025-02-11T12:00,2025-02-11T13:00,0.0,757.7300770246479,0.0,1520.5714354718052,0.0,2214.3527244718307
2025-02-11T13:00,2025-02-11T14:00,0.0,712.8122403169014,0.0,1265.3143644466863,0.0,1912.784256161972
2025-02-11T14:00,2025-02-11T15:00,0.0,734.4918368139361,0.0,1314.6273286691278,0.0,1982.8096658204586
2025-02-11T15:00,2025-02-11T16:00,0.0,745.8051042071907,0.0,1336.2679153823024,0.0,2014.4460648133445
2025-02-11T16:00,2025-02-11T17:00,0.0,742.7923173415493,0.0,1316.9037323943662,0.0,1991.1235387323945
2025-02-11T17:00,2025-02-11T18:00,0.0,746.4708338759133,0.0,1319.0975659181915,0.0,1996.975427925045
2025-02-11T18:00,2025-02-11T19:00,0.0,757.3200882191572,0.0,1345.6805784162568,0.0,2034.0723625679125
2025-02-11T19:00,2025-02-11T20:00,0.0,776.967728785236,0.0,1408.0657203039414,0.0,2115.05852288187
2025-02-11T20:00,2025-02-11T21:00,0.0,790.5121505953314,0.0,1443.075371788978,0.0,2162.561272060175
2025-02-11T21:00,2025-02-11T22:00,0.0,688.6492003147154,0.0,1216.4114233172427,0.0,1838.61265406987
2025-02-11T22:00,2025-02-11T23:00,0.0,497.7575153212172,0.0,924.1217886237544,0.0,1364.725895498732
2025-02-11T23:00,2025-02-12T00:00,0.0,416.0746555144476,0.0,917.6572405959425,0.0,1281.2657438715132
